region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2070,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2075,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2080,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2085,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2090,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2095,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2100,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,1975,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,1990,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2005,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2010,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2015,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2020,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2025,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2030,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2035,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2040,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2045,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2050,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2055,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2060,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2065,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2070,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2075,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2080,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2085,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2090,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2095,non-energy,0.086
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2100,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,1975,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,1990,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2005,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2010,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2015,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2020,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2025,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2030,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2035,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2040,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2045,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2050,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2055,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2060,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2065,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2070,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2075,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2080,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2085,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2090,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2095,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,Biomass-based,2100,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,1975,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,1990,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2005,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2010,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2015,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2020,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2025,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2030,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2035,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2040,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2045,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2050,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2055,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2060,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2065,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2070,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2075,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2080,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2085,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2090,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2095,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,2100,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,1975,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,1990,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2005,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2010,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2015,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2020,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2025,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2030,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2035,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2040,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2045,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2050,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2055,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2060,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2065,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2070,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2075,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2080,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2085,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2090,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2095,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,2100,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2020,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2025,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2030,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2035,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2040,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2045,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2050,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2055,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2060,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2065,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2070,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2075,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2080,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2085,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2090,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2095,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2100,non-energy,0.0878
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,1975,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,1990,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2005,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2010,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2015,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2020,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2025,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2030,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2035,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2040,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2045,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2050,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2055,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2060,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2065,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2070,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2075,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2080,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2085,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2090,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2095,non-energy,0.086
Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2100,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,1975,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,1990,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2005,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2010,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2015,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2020,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2025,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2030,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2035,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2040,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2045,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2050,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2055,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2060,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2065,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2070,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2075,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2080,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2085,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2090,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2095,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,Biomass-based,2100,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,1975,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,1990,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2005,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2010,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2015,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2020,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2025,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2030,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2035,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2040,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2045,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2050,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2055,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2060,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2065,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2070,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2075,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2080,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2085,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2090,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2095,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR,2100,non-energy,0.086
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,1975,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,1990,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2005,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2010,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2015,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2020,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2025,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2030,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2035,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2040,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2045,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2050,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2055,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2060,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2065,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2070,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2075,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2080,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2085,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2090,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2095,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS,2100,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2020,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2025,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2030,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2035,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2040,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2045,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2050,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2055,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2060,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2065,non-energy,0.0878
Africa_Southern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2070,non-energy,0.0878
